cohort,lifetime_month,cohort_size,total_mrr,pct_retention
2023-01-01,0,2,95.329143,100.0
2023-01-01,1,2,95.329143,100.0
2023-01-01,2,2,95.329143,100.0
2023-01-01,3,2,95.329143,100.0
2023-01-01,4,2,95.329143,100.0
2023-01-01,5,2,95.329143,100.0
2023-01-01,6,2,95.329143,100.0
2023-01-01,7,2,95.329143,100.0
2023-01-01,8,2,95.329143,100.0
2023-01-01,9,2,95.329143,100.0
2023-01-01,10,2,95.329143,100.0
2023-01-01,11,2,95.329143,100.0
2023-01-01,12,1,13.195143,13.841667495112169
2023-01-01,13,1,13.195143,13.841667495112169
2023-01-01,14,1,13.195143,13.841667495112169
2023-01-01,15,1,13.195143,13.841667495112169
2023-01-01,16,1,13.195143,13.841667495112169
2023-01-01,17,1,13.195143,13.841667495112169
2023-01-01,18,1,13.195143,13.841667495112169
2023-01-01,19,1,13.195143,13.841667495112169
2023-01-01,20,1,13.195143,13.841667495112169
2023-01-01,21,1,13.195143,13.841667495112169
2023-01-01,22,1,13.195143,13.841667495112169
2023-01-01,23,1,13.195143,13.841667495112169
2023-01-01,24,1,26.389496249999997,27.682506544719487
2023-01-01,25,1,26.389496249999997,27.682506544719487
2023-01-01,26,1,26.389496249999997,27.682506544719487
2023-01-01,27,1,26.389496249999997,27.682506544719487
2023-01-01,28,1,26.389496249999997,27.682506544719487
2023-01-01,29,1,26.389496249999997,27.682506544719487
2023-01-01,30,1,26.389496249999997,27.682506544719487
2023-01-01,31,1,26.389496249999997,27.682506544719487
2023-01-01,32,1,26.389496249999997,27.682506544719487
2023-01-01,33,1,26.389496249999997,27.682506544719487
2023-01-01,34,1,26.389496249999997,27.682506544719487
2023-01-01,35,1,26.389496249999997,27.682506544719487
2023-02-01,0,8,231.46049625,100.0
2023-02-01,1,8,231.46049625,100.0
2023-02-01,2,8,231.46049625,100.0
2023-02-01,3,8,231.46049625,100.0
2023-02-01,4,8,231.46049625,100.0
2023-02-01,5,8,231.46049625,100.0
2023-02-01,6,8,231.46049625,100.0
2023-02-01,7,8,231.46049625,100.0
2023-02-01,8,8,231.46049625,100.0
2023-02-01,9,8,231.46049625,100.0
2023-02-01,10,8,231.46049625,100.0
2023-02-01,11,8,231.46049625,100.0
2023-02-01,12,7,176.70449625,76.343263370152741
2023-02-01,13,7,176.70449625,76.343263370152741
2023-02-01,14,7,176.70449625,76.343263370152741
2023-02-01,15,7,176.70449625,76.343263370152741
