month,mrr_start_of_period,mrr_change,mrr_end_of_period,mrr_new,mrr_expansion,mrr_contraction,mrr_lost
2023-01-01,0.0,95.329143,95.329143,95.329143,,,
2023-02-01,0.0,231.46049625,231.46049625,231.46049625,,,
2023-03-01,0.0,237.643698,237.643698,237.643698,,,
2023-04-01,0.0,310.604,310.604,310.604,,,
2023-05-01,0.0,418.676,418.676,418.676,,,
2023-06-01,0.0,475.567023,475.567023,475.567023,,,
2023-07-01,0.0,886.28788475,886.28788475,886.28788475,,,
2023-08-01,0.0,608.29996425,608.29996425,608.29996425,,,
2023-09-01,0.0,553.617698,553.617698,553.617698,,,
2023-10-01,0.0,507.54477499999996,507.54477499999996,507.54477499999996,,,
2023-11-01,0.0,833.0739925,833.0739925,833.0739925,,,
2023-12-01,0.0,1305.3784190000001,1305.3784190000001,1305.3784190000001,,,
2024-01-01,82.134,667.63569300000029,749.7696930000003,749.7696930000003,,,-82.134
2024-02-01,54.756,657.914706,712.670706,712.670706,,,-54.756
2024-03-01,18.158698,585.2122945,603.37099249999994,603.37099249999994,,,-18.158698
2024-04-01,80.0,333.23547299999996,413.23547299999996,333.23547299999996,40.0,-20.0,-20.0
2024-05-01,164.268,143.201,307.469,252.713,,-27.378,-82.134
2024-06-01,107.38955,61.247225,168.636775,128.636775,20.0,,-87.38955
2024-07-01,190.315,89.414999999999992,279.73,168.162,42.32,-10.0,-111.06700000000001
2024-08-01,59.56155,-43.244775000000004,16.316775,,,-16.316775,-26.928
2024-09-01,163.368,-91.684,71.684,,,-44.306,-47.378
2024-10-01,160.148,29.364000000000004,189.512,,94.756,,-65.392
2024-11-01,300.81699249999997,-124.99399249999999,175.82299999999998,,57.378,-51.067,-131.3049925
2024-12-01,574.35899999999992,-80.000000000000043,494.359,,166.89,-78.445,-168.445
2025-01-01,430.54814300000004,37.333353250000009,467.88149625,,171.17035325,-86.459,-47.378
2025-02-01,383.95821724999996,-211.94021725,172.018,,64.473,-30.0,-246.41321725
2025-03-01,277.596,74.049999999999983,351.64599999999996,,124.75599999999999,-27.378,-23.328000000000003
2025-04-01,380.45247299999994,-213.432473,167.02,,40.0,-47.74199999999999,-205.690473
2025-05-01,105.82300000000001,-58.444999999999993,47.378,,10.0,-27.378,-41.067
2025-06-01,70.172775,124.028775,194.20155,,124.028775,,
2025-07-01,252.66369799999998,-47.541698000000004,205.12199999999999,,56.008999999999993,-25.391999999999996,-78.158698
2025-08-01,189.234775,-80.62277499999999,108.612,,10.0,-44.306,-46.316775
2025-09-01,198.16199999999998,-28.464,169.698,,80.617,-8.464,-100.61699999999999
2025-10-01,87.100775,-53.244775,33.856,,,-16.927999999999997,-36.316775
2025-11-01,305.033,-44.922999999999995,260.11,,135.823,-35.842,-144.904
2025-12-01,506.60869799999995,-268.446698,238.16199999999998,,95.392,-27.378,-336.460698
2026-01-01,833.53718925000021,-833.53718925000021,0.0,,,,-833.53718925000021
2026-02-01,630.506985,-630.506985,0.0,,,,-630.506985
2026-03-01,896.90599249999991,-896.90599249999991,0.0,,,,-896.90599249999991
2026-04-01,430.407,-430.407,0.0,,,,-430.407
2026-05-01,503.43199999999996,-503.43199999999996,0.0,,,,-503.43199999999996
2026-06-01,720.843023,-720.843023,0.0,,,,-720.843023
2026-07-01,895.53918674999989,-895.53918674999989,0.0,,,,-895.53918674999989
2026-08-01,457.05441425,-457.05441425,0.0,,,,-457.05441425
2026-09-01,433.46969800000005,-433.46969800000005,0.0,,,,-433.46969800000005
2026-10-01,483.664,-483.664,0.0,,,,-483.664
2026-11-01,766.863946,-766.863946,0.0,,,,-766.863946
2026-12-01,866.9137750000001,-866.9137750000001,0.0,,,,-866.9137750000001
